campaña,id_finca,id_zona,id_estacion,altitud,variedad,modo,tipo,color,superficie,produccion
14,76953,515,4,660.0,26,2,0,1,2.6387681818181816,22215.0
14,84318,515,4,660.0,26,2,0,1,2.6387681818181816,22215.0
14,85579,340,4,520.0,32,2,0,1,2.9126696562546384,20978.0
14,69671,340,4,520.0,32,2,0,1,2.9126696562546384,40722.0
14,14001,852,14,659.0979381443299,81,1,0,1,2.8209755555555556,14126.0
14,17059,852,14,659.0979381443299,81,1,0,1,2.8209755555555556,6054.0
14,87611,602,14,659.0979381443299,81,1,0,1,2.8209755555555556,12900.0
14,12257,215,14,659.0979381443299,17,1,0,1,3.736550852713178,5450.0
14,97286,142,14,659.0979381443299,17,1,0,1,3.736550852713178,30720.0
14,43323,142,14,659.0979381443299,59,1,0,1,4.558161437908496,34880.0
14,43323,142,14,659.0979381443299,81,1,0,1,2.8209755555555556,12650.0
14,23258,142,14,659.0979381443299,81,1,0,1,2.8209755555555556,975.0
14,5696,919,14,655.0,59,1,0,1,7.62,21907.6
14,98814,919,14,655.0,32,2,0,1,5.886033333333334,31496.5
14,98814,919,14,655.0,40,2,0,1,3.257466666666667,16990.0
14,4024,919,14,655.0,32,2,0,1,14.583333333333334,54893.9
14,4024,919,14,655.0,87,2,0,0,7.778133333333334,13440.0
14,4024,919,14,655.0,17,2,0,1,2.287234814814815,33878.0
14,4024,919,14,655.0,52,2,0,1,8.869333333333332,34170.0
14,4024,919,14,655.0,59,2,0,1,1.122,13731.2
14,4024,919,14,655.0,81,2,0,1,13.86,42580.0
14,73332,919,3,655.0,32,2,0,1,0.6041,3599.6
14,48410,919,14,655.0,68,1,0,0,2.0138000000000003,7760.0
14,48410,919,14,655.0,59,1,0,1,2.7732499999999995,2380.0
14,39664,919,14,655.0,68,1,0,0,1.4329,7040.0
14,39664,919,14,655.0,59,1,0,1,1.122,1940.0
14,39664,919,14,655.0,59,2,0,1,1.122,3165.0
14,41325,919,14,655.0,68,1,0,0,1.6312119999999999,8330.0
14,41325,919,14,655.0,17,1,0,1,0.5633333333333334,4769.0
14,41325,919,14,655.0,59,1,0,1,2.7732499999999995,4540.0
14,3010,919,14,655.0,68,1,0,0,1.6312119999999999,7750.0
14,3010,919,14,655.0,59,1,0,1,2.7732499999999995,7100.0
14,50946,919,14,655.0,68,1,0,0,1.6312119999999999,15650.0
14,50946,919,14,655.0,59,1,0,1,2.7732499999999995,2880.0
14,38795,464,14,655.0,40,2,0,1,2.18,28.0
14,43705,464,14,655.0,17,2,0,1,4.2676,8280.0
14,93182,464,14,655.0,40,2,0,1,0.7699000000000001,5.6
14,97677,464,14,655.0,87,1,0,0,1.014851938200688,2360.0
14,24404,464,14,655.0,32,2,0,1,9.3728,9363.6
14,70378,464,14,655.0,9,2,0,0,2.45,980.0
14,1592,464,3,655.0,32,2,0,1,3.6637,1907.4
14,20943,464,3,655.0,32,2,0,1,1.41,1040.4
14,10999,464,3,655.0,32,2,0,1,0.73,346.8
14,23983,464,3,655.0,32,2,0,1,1.01,520.2
14,71061,464,3,655.0,32,2,0,1,2.2081,1213.8
14,39360,464,3,655.0,32,2,0,1,3.08,1734.0
14,86582,464,14,655.0,17,1,0,1,3.8066364341085266,90640.0
14,86582,464,14,655.0,59,1,0,1,6.418055555555557,14324.2
14,83472,464,14,655.0,17,1,0,1,7.419999999999999,38930.0
14,83472,464,14,655.0,59,1,0,1,22.320000000000004,80920.0
14,77984,464,14,655.0,17,2,0,1,2.2630296296296293,3127.2
14,77984,464,14,655.0,59,2,0,1,0.7555666666666667,1471.2
14,13054,464,14,655.0,17,2,0,1,2.2630296296296293,6254.4
14,13054,464,14,655.0,59,2,0,1,0.7555666666666667,4658.8
14,13802,464,3,655.0,32,2,0,1,2.709227272727273,173.4
14,1142,464,14,655.0,59,1,0,1,0.85,2106.5
14,16692,464,14,655.0,17,2,0,1,2.2630296296296293,2606.0
14,16692,464,14,655.0,59,2,0,1,0.7555666666666667,1471.2
14,78846,464,14,655.0,17,2,0,1,2.2630296296296293,3127.2
14,78846,464,14,655.0,59,2,0,1,0.7555666666666667,1716.4
14,59317,464,14,655.0,17,2,0,1,2.2630296296296293,3127.2
14,59317,464,14,655.0,59,2,0,1,0.7555666666666667,1471.2
14,10133,464,14,655.0,17,1,0,1,3.8066364341085266,588.8
14,75065,464,14,655.0,59,1,0,1,1.66,3791.7
14,18976,464,14,655.0,32,2,0,1,2.08,1040.4
14,25825,464,14,655.0,17,1,0,1,0.89,2905.328
14,92531,464,14,655.0,59,1,0,1,0.82,1940.0
14,92531,464,14,655.0,59,2,0,1,0.82,3165.0
14,80506,464,14,655.0,40,2,0,1,1.7935,28.0
14,92099,464,14,655.0,40,2,0,1,0.8439,8.4
14,95478,464,14,655.0,17,1,0,1,3.8066364341085266,331.2
14,33751,464,14,655.0,17,1,0,1,3.8066364341085266,7781.0
14,68025,464,14,655.0,17,1,0,1,3.8066364341085266,4380.0
14,26816,464,14,655.0,59,2,0,1,0.7555666666666667,1690.0
14,70951,464,14,655.0,17,1,0,1,3.8066364341085266,4480.0
14,42732,82,14,659.0979381443299,17,1,0,1,3.736550852713178,19320.0
14,86971,411,8,690.0,81,1,0,1,1.5873346153846153,8775.0
14,36535,186,8,695.0,17,1,0,1,1.5547666666666669,3360.0
14,36535,186,8,695.0,59,1,0,1,1.5584666666666667,900.0
14,75318,165,8,700.0,59,1,0,1,4.7631,11120.0
14,18632,165,8,700.0,52,2,0,1,8.0,16050.0
14,16613,165,8,700.0,17,1,0,1,6.809199999999999,11534.672
14,13439,428,14,730.0,32,2,0,1,1.3984,754.0
14,10316,592,17,820.0,59,1,0,1,1.835275133674359,4936.4
14,98808,592,17,820.0,59,1,0,1,1.835275133674359,6543.6
14,19515,973,2,500.0,32,2,0,1,5.0139,18980.5
14,35465,964,2,500.0,32,2,0,1,3.8165,13557.5
14,37826,964,2,500.0,32,2,0,1,4.4695,16811.3
14,37826,964,2,500.0,17,2,0,1,10.1482,50080.0
14,49672,828,2,500.0,32,2,0,1,1.1995,4880.7
14,59146,734,11,530.0,59,1,0,1,1.835275133674359,2700.0
14,55814,44,7,630.0,17,1,0,1,1.4392999999999998,20640.0
14,55814,44,7,630.0,81,1,0,1,2.95,17000.0
14,55814,44,7,630.0,32,2,0,1,2.7648,27560.0
