iter	RMSE
0	12617.75968
1	11907.77811
2	11256.22025
3	10690.28451
4	10159.58273
5	9686.665366
6	9262.678684
7	8912.316266
8	8587.140333
9	8339.873635
10	8106.508603
11	7892.274464
12	7719.023982
13	7541.008616
14	7396.660045
15	7257.742461
16	7138.925501
17	7037.698969
18	6945.38073
19	6858.869989
20	6773.637119
21	6690.299135
22	6634.974864
23	6585.860408
24	6531.412714
25	6491.81226
26	6444.309244
27	6414.938927
28	6383.3547
29	6351.915432
30	6320.954606
31	6285.589555
32	6257.019021
33	6223.087533
34	6200.701704
35	6161.409546
36	6119.746222
37	6099.025798
38	6069.482506
39	6050.175194
40	6026.316126
41	5989.215337
42	5962.509555
43	5939.507808
44	5924.388097
45	5890.20693
46	5865.360339
47	5845.51395
48	5821.398383
49	5806.554924
50	5786.589134
51	5766.138315
52	5742.288746
53	5729.464794
54	5707.159421
55	5683.443527
56	5670.522625
57	5646.604785
58	5634.14578
59	5610.212864
60	5596.776926
61	5584.99342
62	5561.738179
63	5547.3388
64	5531.036717
65	5527.211822
66	5508.322856
67	5497.381137
68	5476.088676
69	5462.670539
70	5449.42844
71	5429.782952
72	5415.388603
73	5402.698783
74	5394.726893
75	5376.440472
76	5360.078636
77	5348.517228
78	5336.08651
79	5315.378511
80	5300.065094
81	5290.937587
82	5283.148258
83	5268.591595
84	5253.583357
85	5233.852393
86	5221.051637
87	5210.735605
88	5197.072726
89	5187.183828
90	5178.784905
91	5166.577657
92	5148.462622
93	5136.136026
94	5129.808753
95	5116.119611
96	5102.687547
97	5091.572354
98	5082.364977
99	5070.16753
100	5056.771543
101	5044.342609
102	5034.150385
103	5021.169267
104	5003.742238
105	4989.871069
106	4974.586413
107	4965.124856
108	4949.707122
109	4940.618584
110	4930.620933
111	4917.055173
112	4905.594368
113	4900.00914
114	4886.304482
115	4873.333365
116	4863.561749
117	4850.95344
118	4843.606885
119	4830.458824
120	4822.204529
121	4809.573881
122	4801.688725
123	4791.616828
124	4777.525124
125	4763.804917
126	4757.44675
127	4748.916876
128	4741.661748
129	4733.622011
130	4724.885295
131	4719.338904
132	4710.600683
133	4696.802537
134	4690.023257
135	4680.809443
136	4673.753029
137	4663.190705
138	4655.227686
139	4650.212471
140	4643.764482
141	4636.315652
142	4628.813008
143	4622.782434
144	4616.586332
145	4610.522786
146	4601.467243
147	4595.881677
148	4585.614306
149	4577.445474
150	4572.490907
151	4565.358469
152	4560.820297
153	4554.384758
154	4548.629761
155	4542.858431
156	4537.625044
157	4532.657693
158	4522.766067
159	4517.825369
160	4512.479814
161	4507.628203
162	4496.354499
163	4490.267273
164	4483.364351
165	4478.88447
166	4472.039081
167	4459.879476
168	4452.594013
169	4447.01858
170	4439.50551
171	4436.141057
172	4431.326492
173	4416.55506
174	4411.043889
175	4402.995609
176	4394.545549
177	4383.491325
178	4374.961508
179	4364.829299
180	4355.932116
181	4351.347536
182	4345.531466
183	4339.489445
184	4333.855692
185	4326.93843
186	4319.067223
187	4308.661359
188	4304.509956
189	4300.270397
190	4295.733675
191	4290.582302
192	4284.127673
193	4280.06932
194	4272.419203
195	4262.591001
196	4256.069022
197	4249.191375
198	4244.648575
199	4238.069896
200	4234.027129
201	4227.591076
202	4222.468015
203	4217.517749
204	4211.537764
205	4205.582569
206	4197.847136
207	4192.805225
208	4189.389694
209	4184.921215
210	4178.078491
211	4172.085124
212	4165.245517
213	4157.112327
214	4152.33
215	4146.097912
216	4139.318952
217	4134.808099
218	4130.780229
219	4127.383522
220	4122.285059
221	4118.517234
222	4114.578245
223	4107.345508
224	4103.604885
225	4096.97429
226	4093.726809
227	4089.205037
228	4085.046698
229	4082.532404
230	4076.531222
231	4073.380632
232	4067.369587
233	4062.50503
234	4058.034617
235	4054.429136
236	4049.808092
237	4045.12986
238	4042.722964
239	4038.689074
240	4035.710075
241	4032.818856
242	4027.484129
243	4024.17755
244	4020.033942
245	4016.175128
246	4011.208282
247	4007.473996
248	4003.246039
249	3999.282211
250	3995.602522
251	3991.010371
252	3987.244755
253	3985.291576
254	3980.445491
255	3975.477331
256	3970.768087
257	3968.360864
258	3965.640851
259	3963.743007
260	3955.392535
261	3951.843474
262	3949.900682
263	3946.731127
264	3940.517696
265	3936.220471
266	3933.166161
267	3931.046165
268	3926.641682
269	3923.830949
270	3919.656987
271	3915.438696
272	3911.968913
273	3907.749041
274	3903.295624
275	3900.935048
276	3898.498793
277	3894.539396
278	3890.854343
279	3885.480074
280	3881.683687
281	3879.373932
282	3874.789078
283	3872.612472
284	3869.829217
285	3865.131653
286	3861.064255
287	3859.483941
288	3855.441687
289	3853.994058
290	3852.659841
291	3849.238349
292	3843.920106
293	3841.935779
294	3837.349483
295	3835.291838
296	3831.143195
297	3827.538253
298	3825.343956
299	3822.566868
300	3817.903874
301	3814.322379
302	3809.392144
303	3806.619325
304	3801.934019
305	3797.061453
306	3793.030306
307	3790.590796
308	3788.280029
309	3783.516349
310	3780.000148
311	3777.712387
312	3773.318047
313	3769.483345
314	3765.730452
315	3760.152108
316	3755.93432
317	3752.972917
318	3747.32042
319	3744.728075
320	3738.644668
321	3737.486976
322	3734.15484
323	3730.810724
324	3728.108217
325	3725.209156
326	3721.049057
327	3717.694429
328	3715.573432
329	3712.540277
330	3709.387703
331	3706.978779
332	3704.546953
333	3700.350199
334	3698.572271
335	3696.391231
336	3694.182958
337	3692.775665
338	3688.579433
339	3687.174121
340	3682.815007
341	3680.493696
342	3677.498763
343	3673.302986
344	3671.382418
345	3667.941669
346	3665.973593
347	3662.991482
348	3658.316805
349	3654.943165
350	3652.680393
351	3649.939804
352	3647.650336
353	3646.66327
354	3644.356466
355	3641.200085
356	3638.903128
357	3635.271231
358	3633.075877
359	3632.241921
360	3629.115095
361	3626.40183
362	3623.379889
363	3619.459359
364	3616.960678
365	3615.00209
366	3612.553644
367	3610.71584
368	3608.27879
369	3606.160975
370	3603.836655
371	3602.056049
372	3596.536036
373	3592.301409
374	3589.924645
375	3586.775242
376	3582.78379
377	3579.665734
378	3576.653056
