iter	Passed	Remaining
0	27	27813
1	58	28987
2	89	29792
3	120	30103
4	151	30244
5	183	30394
6	212	30152
7	242	30053
8	273	30114
9	304	30118
10	335	30164
11	364	30030
12	394	29987
13	427	30110
14	461	30305
15	492	30306
16	524	30312
17	554	30246
18	586	30275
19	617	30242
20	648	30248
21	678	30158
22	709	30122
23	738	30048
24	769	29998
25	802	30067
26	836	30157
27	873	30336
28	905	30307
29	941	30446
30	974	30462
31	1004	30377
32	1035	30348
33	1065	30260
34	1095	30216
35	1125	30128
36	1154	30057
37	1183	29949
38	1211	29858
39	1241	29806
40	1271	29733
41	1302	29707
42	1334	29709
43	1366	29699
44	1395	29616
45	1426	29583
46	1464	29692
47	1493	29621
48	1522	29550
49	1554	29534
50	1583	29473
51	1614	29425
52	1645	29397
53	1675	29344
54	1703	29273
55	1733	29219
56	1765	29212
57	1794	29140
58	1824	29105
59	1854	29052
60	1884	29015
61	1916	28987
62	1946	28953
63	1977	28921
64	2007	28875
65	2036	28816
66	2066	28775
67	2097	28747
68	2127	28705
69	2157	28667
70	2186	28603
71	2227	28705
72	2256	28648
73	2284	28585
74	2323	28652
75	2355	28633
76	2385	28590
77	2418	28583
78	2453	28605
79	2483	28559
80	2518	28577
81	2548	28532
82	2577	28479
83	2608	28445
84	2639	28408
85	2665	28331
86	2695	28291
87	2727	28271
88	2755	28208
89	2783	28141
90	2814	28113
91	2844	28076
92	2872	28013
93	2900	27958
94	2932	27933
95	2961	27885
96	2991	27848
97	3020	27798
98	3050	27760
99	3077	27700
100	3109	27679
101	3144	27687
102	3173	27637
103	3203	27599
104	3232	27550
105	3261	27511
106	3294	27497
107	3325	27467
108	3356	27437
109	3384	27387
110	3415	27357
111	3448	27344
112	3478	27304
113	3510	27279
114	3540	27249
115	3572	27227
116	3603	27199
117	3633	27156
118	3661	27104
119	3693	27082
120	3725	27063
121	3754	27020
122	3784	26984
123	3815	26955
124	3844	26908
125	3872	26861
126	3904	26836
127	3935	26808
128	3961	26747
129	3993	26723
130	4023	26688
131	4053	26655
132	4086	26639
133	4116	26604
134	4146	26565
135	4175	26528
136	4207	26506
137	4241	26493
138	4272	26465
139	4314	26502
140	4344	26467
141	4372	26421
142	4404	26394
143	4440	26394
144	4471	26368
145	4501	26331
146	4537	26329
147	4566	26285
148	4597	26258
149	4629	26233
150	4674	26284
151	4705	26250
152	4737	26228
153	4768	26194
154	4798	26158
155	4828	26122
156	4859	26090
157	4887	26046
158	4917	26011
159	4948	25977
160	4977	25940
161	5006	25899
162	5037	25869
163	5066	25825
164	5096	25793
165	5127	25762
166	5159	25734
167	5188	25693
168	5218	25659
169	5249	25631
170	5280	25599
171	5311	25570
172	5341	25535
173	5371	25500
174	5400	25460
175	5432	25434
176	5464	25409
